ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,airlines,0.3658,126.4019
Decision Tree-Extra Tree-Logistic-SGD,4,airlines,0.38536,112.0714
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,airlines,0.36923999999999996,126.0296
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,airlines,0.37720000000000004,337.2763
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,airlines,0.36608,144.25519999999997
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,airlines,0.36588,112.56290000000001
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,airlines,0.37771999999999994,125.72739999999999
Decision Tree-Extra Tree-Logistic-SGD-MultinomialNB,5,airlines,0.38448,114.5171
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,airlines,0.38576,2262.9230999999995
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,airlines,0.39396,212.8086
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,airlines,0.37424,152.36169999999998
Decision Tree-Extra Tree-Multi-layer Perceptron,3,airlines,0.3966799999999999,116.99799999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB,4,airlines,0.3712,141.4516
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,airlines,0.37752,352.8139
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,airlines,0.36364,150.3743
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,airlines,0.38148,135.25670000000002
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,airlines,0.37788,2429.15
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,airlines,0.37220000000000003,165.5396
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees,4,airlines,0.38148,339.3558
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,airlines,0.37292000000000003,369.2356
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,airlines,0.37539999999999996,357.9536
Decision Tree-Extra Tree-Multi-layer Perceptron-Gradient Boosting,4,airlines,0.36663999999999997,129.7347
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant,4,airlines,0.36696,124.299
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,airlines,0.36376,135.9035
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,airlines,0.37324,318.97659999999996
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,airlines,0.35940000000000005,135.3112
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,airlines,0.37743999999999994,115.7529
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,airlines,0.37420000000000003,2232.9766
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,airlines,0.39,212.7214
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,airlines,0.36784,139.89409999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB,4,airlines,0.38499999999999995,116.9535
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,airlines,0.38776,343.38699999999994
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,airlines,0.3745200000000001,132.7652
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,airlines,0.39615999999999996,2291.2984
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,airlines,0.38564000000000004,144.9327
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors,4,airlines,0.38787999999999995,2239.8134
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,airlines,0.38564,2527.008
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,airlines,0.37356,2353.2677000000003
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,airlines,0.3805200000000001,2300.5661
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant,4,airlines,0.39383999999999997,217.6011
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,airlines,0.39336000000000004,229.46639999999996
