ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Passive Aggressive-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.0802,204.79680000000002
Decision Tree-Extra Tree-Passive Aggressive-Gradient Boosting,4,MiniBooNE,0.09236,93.91479999999999
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant,4,MiniBooNE,0.10247999999999999,94.97490000000002
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-BernoulliNB,5,MiniBooNE,0.10184,99.7
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Extra Trees,5,MiniBooNE,0.08356,202.7801
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Gradient Boosting,5,MiniBooNE,0.08208,112.92429999999997
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors,5,MiniBooNE,0.0934,1671.7363
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant,5,MiniBooNE,0.09808,108.1106
Decision Tree-Extra Tree-Passive Aggressive-Linear Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.08612,111.53689999999999
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron,4,MiniBooNE,0.09919999999999998,103.40239999999999
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB,5,MiniBooNE,0.09816,112.648
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees,5,MiniBooNE,0.08208000000000001,204.68350000000004
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Gradient Boosting,5,MiniBooNE,0.08084000000000001,113.88139999999999
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant,5,MiniBooNE,0.08843999999999999,104.109
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors,5,MiniBooNE,0.09123999999999999,1687.941
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant,5,MiniBooNE,0.09691999999999999,107.4109
Decision Tree-Extra Tree-Passive Aggressive-Multi-layer Perceptron-Random Forest (10 estimators),5,MiniBooNE,0.08448,108.36390000000002
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors,4,MiniBooNE,0.10768,1662.6402999999998
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Extra Trees,5,MiniBooNE,0.08771999999999999,1827.8576
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Gradient Boosting,5,MiniBooNE,0.08524,1759.7550999999996
Decision Tree-Extra Tree-Passive Aggressive-Nearest Neighbors-Random Forest (10 estimators),5,MiniBooNE,0.09043999999999999,1766.2085
Decision Tree-Extra Tree-Passive Aggressive-Perceptron,4,MiniBooNE,0.13008000000000003,106.8528
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-BernoulliNB,5,MiniBooNE,0.12832000000000002,92.9823
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Extra Trees,5,MiniBooNE,0.09659999999999999,197.2773
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Gradient Boosting,5,MiniBooNE,0.09436000000000001,113.55040000000001
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Linear Discriminant,5,MiniBooNE,0.10416,92.9212
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron,5,MiniBooNE,0.1002,95.8747
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Nearest Neighbors,5,MiniBooNE,0.10756000000000002,1685.3688000000002
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Quadratic Discriminant,5,MiniBooNE,0.121,97.0385
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Random Forest (10 estimators),5,MiniBooNE,0.09936000000000002,105.9088
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-Ridge,5,MiniBooNE,0.10391999999999998,97.0023
Decision Tree-Extra Tree-Passive Aggressive-Perceptron-SGD,5,MiniBooNE,0.14376000000000003,91.5846
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant,4,MiniBooNE,0.10664,100.5959
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB,5,MiniBooNE,0.11916,109.0334
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-Extra Trees,5,MiniBooNE,0.09111999999999999,199.86809999999997
Decision Tree-Extra Tree-Passive Aggressive-Quadratic Discriminant-Gradient Boosting,5,MiniBooNE,0.09,104.89099999999999
