ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,Australian,0.15507246376811593,14.599799999999998
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,Australian,0.15217391304347827,3.1994999999999996
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-MultinomialNB,5,Australian,0.172463768115942,2.8998
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,Australian,0.17101449275362318,6.5003
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,Australian,0.14782608695652172,5.100200000000001
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,Australian,0.14782608695652172,4.7064
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14637681159420288,5.900900000000001
Decision Tree-Extra Tree-Logistic-Ridge,4,Australian,0.1492753623188406,2.7004
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,Australian,0.13768115942028986,2.9994000000000005
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,Australian,0.13913043478260867,16.499900000000004
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,Australian,0.1463768115942029,3.4124000000000003
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,Australian,0.1434782608695652,2.4998
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,Australian,0.15072463768115943,3.0997
Decision Tree-Extra Tree-Logistic-Ridge-MultinomialNB,5,Australian,0.15072463768115943,3.0056000000000003
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,Australian,0.1463768115942029,7.1941999999999995
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,Australian,0.14782608695652172,2.9008
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,Australian,0.14492753623188404,4.900799999999999
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,Australian,0.1492753623188406,2.9999999999999996
Decision Tree-Extra Tree-Logistic-SGD,4,Australian,0.15797101449275364,2.6053
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,Australian,0.14347826086956522,3.4005
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,Australian,0.15217391304347827,14.501299999999997
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,Australian,0.15507246376811595,3.5
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,Australian,0.15072463768115943,3.0996
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,Australian,0.15507246376811595,2.8871999999999995
Decision Tree-Extra Tree-Logistic-SGD-MultinomialNB,5,Australian,0.1579710144927536,2.8004
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,Australian,0.1492753623188406,6.7998
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,Australian,0.15942028985507245,3.0001000000000007
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,Australian,0.14782608695652175,4.3987
Decision Tree-Extra Tree-Multi-layer Perceptron,3,Australian,0.1579710144927536,3.1003
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB,4,Australian,0.15362318840579708,2.7006
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,Australian,0.1492753623188406,18.018700000000003
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,Australian,0.14347826086956522,3.4993000000000003
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,Australian,0.15362318840579708,2.8
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,Australian,0.14492753623188406,7.3003
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,Australian,0.1391304347826087,5.0817
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees,4,Australian,0.14637681159420288,16.899499999999996
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,Australian,0.15217391304347822,17.599799999999995
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,Australian,0.14492753623188406,18.300500000000003
Decision Tree-Extra Tree-Multi-layer Perceptron-Gradient Boosting,4,Australian,0.1492753623188406,3.4014
