ensembleDescription,k,dataset,errorRate
Decission Tree-Passive Aggressive-Linear Discriminant,3,Breast Cancer,0.10409121033496216
Decission Tree-Passive Aggressive-Quadratic Discriminant,3,Breast Cancer,0.1171039213489963
Decission Tree-Passive Aggressive-BernoulliNB,3,Breast Cancer,0.15423819091490368
Decission Tree-Passive Aggressive-MultinomialNB,3,Breast Cancer,0.1433788381568446
Decission Tree-Passive Aggressive-Nearest Neighbors,3,Breast Cancer,0.10386092092428463
Decission Tree-Passive Aggressive-Extra Trees,3,Breast Cancer,0.09085853600481653
Decission Tree-Passive Aggressive-Random Forest (10 estimators),3,Breast Cancer,0.11737018290605472
Decission Tree-Passive Aggressive-Gradient Boosting,3,Breast Cancer,0.09970626053028286
Decission Tree-Perceptron-Ridge,3,Breast Cancer,0.1267603249277757
Decission Tree-Perceptron-SGD,3,Breast Cancer,0.15761138180647144
Decission Tree-Perceptron-Multi-layer Perceptron,3,Breast Cancer,0.13746445956604733
Decission Tree-Perceptron-Linear Discriminant,3,Breast Cancer,0.11688349131674625
Decission Tree-Perceptron-Quadratic Discriminant,3,Breast Cancer,0.1324077185514998
Decission Tree-Perceptron-BernoulliNB,3,Breast Cancer,0.18611884693110806
Decission Tree-Perceptron-MultinomialNB,3,Breast Cancer,0.1753785417920966
Decission Tree-Perceptron-Nearest Neighbors,3,Breast Cancer,0.1288306660506014
Decission Tree-Perceptron-Extra Trees,3,Breast Cancer,0.10346296374082317
Decission Tree-Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.12424361649001461
Decission Tree-Perceptron-Gradient Boosting,3,Breast Cancer,0.1100853623817458
Decission Tree-Ridge-SGD,3,Breast Cancer,0.12935926874915404
Decission Tree-Ridge-Multi-layer Perceptron,3,Breast Cancer,0.10516687435534833
Decission Tree-Ridge-Linear Discriminant,3,Breast Cancer,0.1227376518577636
Decission Tree-Ridge-Quadratic Discriminant,3,Breast Cancer,0.12329941473796222
Decission Tree-Ridge-BernoulliNB,3,Breast Cancer,0.1597380789030304
Decission Tree-Ridge-MultinomialNB,3,Breast Cancer,0.13705243089100777
Decission Tree-Ridge-Nearest Neighbors,3,Breast Cancer,0.102574137858613
Decission Tree-Ridge-Extra Trees,3,Breast Cancer,0.10047508202536135
Decission Tree-Ridge-Random Forest (10 estimators),3,Breast Cancer,0.12172046736954115
Decission Tree-Ridge-Gradient Boosting,3,Breast Cancer,0.11167051707480993
Decission Tree-SGD-Multi-layer Perceptron,3,Breast Cancer,0.1198734615869282
Decission Tree-SGD-Linear Discriminant,3,Breast Cancer,0.11789417678273897
Decission Tree-SGD-Quadratic Discriminant,3,Breast Cancer,0.1290805925428095
Decission Tree-SGD-BernoulliNB,3,Breast Cancer,0.17389430279609638
Decission Tree-SGD-MultinomialNB,3,Breast Cancer,0.15618353378791489
Decission Tree-SGD-Nearest Neighbors,3,Breast Cancer,0.10908320615318556
Decission Tree-SGD-Extra Trees,3,Breast Cancer,0.09440484358008616
Decission Tree-SGD-Random Forest (10 estimators),3,Breast Cancer,0.11629040011574558
Decission Tree-SGD-Gradient Boosting,3,Breast Cancer,0.10446070950187387
Decission Tree-Multi-layer Perceptron-Linear Discriminant,3,Breast Cancer,0.0909115899618693
Decission Tree-Multi-layer Perceptron-Quadratic Discriminant,3,Breast Cancer,0.09451840728450547
Decission Tree-Multi-layer Perceptron-BernoulliNB,3,Breast Cancer,0.14208816967931936
Decission Tree-Multi-layer Perceptron-MultinomialNB,3,Breast Cancer,0.13357629408717323
Decission Tree-Multi-layer Perceptron-Nearest Neighbors,3,Breast Cancer,0.08829295071944294
Decission Tree-Multi-layer Perceptron-Extra Trees,3,Breast Cancer,0.07695412880431993
Decission Tree-Multi-layer Perceptron-Random Forest (10 estimators),3,Breast Cancer,0.09884278900230091
Decission Tree-Multi-layer Perceptron-Gradient Boosting,3,Breast Cancer,0.08228377041299711
Decission Tree-Linear Discriminant-Quadratic Discriminant,3,Breast Cancer,0.11366711704774038
Decission Tree-Linear Discriminant-BernoulliNB,3,Breast Cancer,0.14945629903436433
Decission Tree-Linear Discriminant-MultinomialNB,3,Breast Cancer,0.13012881365424733
Decission Tree-Linear Discriminant-Nearest Neighbors,3,Breast Cancer,0.09182762539495852
Decission Tree-Linear Discriminant-Extra Trees,3,Breast Cancer,0.08981318519763094
Decission Tree-Linear Discriminant-Random Forest (10 estimators),3,Breast Cancer,0.11622469815133736
Decission Tree-Linear Discriminant-Gradient Boosting,3,Breast Cancer,0.1026845979007108
Decission Tree-Quadratic Discriminant-BernoulliNB,3,Breast Cancer,0.1491869338149844
Decission Tree-Quadratic Discriminant-MultinomialNB,3,Breast Cancer,0.13323675809635824
